name,price,supplier_url
"ALIBARBAR PANDORA 7000 PUFF – CHUPA CHUPS STRAWBERRY",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-chupa-chups-strawberry-3/
"ALIBARBAR PANDORA 7000 PUFF – BLUEBERRY BREEZE",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-blueberry-breeze-3/
"ALIBARBAR INGOT 9000 PUFF – BLACKBERRY ICE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-blackberry-ice-3/
"ALIBARBAR INGOT 9000 PUFF – BLUEBERRY BLAST",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-blueberry-blast-3/
"ALIBARBAR INGOT 9000 PUFF – COOL MINT",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-cool-mint-2/
"ALIBARBAR INGOT 9000 PUFF – WATERMELON ICE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-watermelon-ice-2/
"ALIBARBAR INGOT 9000 PUFF – BANANA BUZZ",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-banana-buzz-2/
"ALIBARBAR INGOT 9000 PUFF – PASSIONFRUIT MANGO LIME",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-passionfruit-mango-lime-2/
"ALIBARBAR PANDORA 7000 PUFF – BLACKBERRY ICE",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-blackberry-ice-2/
"ALIBARBAR PANDORA 7000 PUFF – BANANA BUZZ",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-banana-buzz-2/
"ALIBARBAR PANDORA 7000 PUFF – RIBENA",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-ribena-2/
"ALIBARBAR PANDORA 7000 PUFF – STRAWBERRY COCONUT WATERMELON",42.95,https://aussievapemart.com.au/product/alibarbar-pandora-7000-puff-strawberry-coconut-watermelon-2/
"ALIBARBAR INGOT 9000 PUFF – KIWI PINEAPPLE",44.95,https://aussievapemart.com.au/product/alibarbar-ingot-9000-puff-kiwi-pineapple-2/
"Glass Stem 14 mm M to 14 mm F &#8211; 3&#8243;",3.99,https://aussievapemart.com.au/product/glass-stem-14-mm-m-to-14-mm-f-3/
"9&#8243; Dopezilla Lycan Dab Rig &#8211; Pale Blue",67.99,https://aussievapemart.com.au/product/9-dopezilla-lycan-dab-rig-pale-blue/
"8&#8243; Dopezilla Kraken Dab Rig &#8211; Teal",70.99,https://aussievapemart.com.au/product/8-dopezilla-kraken-dab-rig-teal/
"8&#8243; Dopezilla Kraken Dab Rig &#8211; Black",70.99,https://aussievapemart.com.au/product/8-dopezilla-kraken-dab-rig-black/
"10&#8243; Dopezilla Ogre Dab Rig &#8211; Milky Jade",60.99,https://aussievapemart.com.au/product/10-dopezilla-ogre-dab-rig-milky-jade/
"10&#8243; Dopezilla Ogre Dab Rig &#8211; Black",60.99,https://aussievapemart.com.au/product/10-dopezilla-ogre-dab-rig-black/
"10&#8243; Dopezilla Basilisk Dab Rig &#8211; Black",79.99,https://aussievapemart.com.au/product/10-dopezilla-basilisk-dab-rig-black/
"10&#8243; Dopezilla Banshee Dab Rig &#8211; Dark Blue",69.99,https://aussievapemart.com.au/product/10-dopezilla-banshee-dab-rig-dark-blue/
"10&#8243; Dopezilla Banshee Dab Rig &#8211; Black",69.99,https://aussievapemart.com.au/product/10-dopezilla-banshee-dab-rig-black/
"14mm 90 Degree Female Quartz Banger",9.99,https://aussievapemart.com.au/product/14mm-90-degree-female-quartz-banger-2/
"12&#8243; Dopezilla Cyclops Water Pipe &#8211; Black",52.99,https://aussievapemart.com.au/product/12-dopezilla-cyclops-water-pipe-black/
"16&#8243; Dopezilla Hydra Water Pipe &#8211; Black",70.99,https://aussievapemart.com.au/product/16-dopezilla-hydra-water-pipe-black/
"13&#8243; Dopezilla Hydra Water Pipe &#8211; Milky Teal",58.99,https://aussievapemart.com.au/product/13-dopezilla-hydra-water-pipe-milky-teal/
"9.5&#8243; Irie Bell Base w/ Bell Perc Bong &#8211; Green",82.59,https://aussievapemart.com.au/product/9-5-irie-bell-base-w-bell-perc-bong-green/
"14mm 45 Degree Female Quartz Banger",9.99,https://aussievapemart.com.au/product/14mm-45-degree-female-quartz-banger-2/
"8&#8243; Dopezilla Cyclops Water Pipe &#8211; Milky Yellow",35.99,https://aussievapemart.com.au/product/8-dopezilla-cyclops-water-pipe-milky-yellow/
"8&#8243; Dopezilla Cyclops Water Pipe &#8211; Black",35.99,https://aussievapemart.com.au/product/8-dopezilla-cyclops-water-pipe-black/
"11.5&#8243; Dopezilla Mutos Water Pipe &#8211; Milky Jade",46.99,https://aussievapemart.com.au/product/11-5-dopezilla-mutos-water-pipe-milky-jade/
"16&#8243; Dopezilla Cerberus Water Pipe &#8211; Black",60.99,https://aussievapemart.com.au/product/16-dopezilla-cerberus-water-pipe-black/
"16&#8243; Dopezilla Cerberus Water Pipe &#8211; Milky Teal",60.99,https://aussievapemart.com.au/product/16-dopezilla-cerberus-water-pipe-milky-teal/
"4&#8243; Inline Heavy Hand Pipe &#8211; Blue",8.49,https://aussievapemart.com.au/product/4-inline-heavy-hand-pipe-blue/
"14mm 90 Degree Female Quartz Banger",9.99,https://aussievapemart.com.au/product/14mm-90-degree-female-quartz-banger/
"14&#8221; 7mm Deep Engraved Forst Skull Beaker &#8211; Yellow",89.99,https://aussievapemart.com.au/product/14-7mm-deep-engraved-forst-skull-beaker-yellow/
"12&#8243; Dopezilla Cerberus Water Pipe &#8211; Milky Purple",58.99,https://aussievapemart.com.au/product/12-dopezilla-cerberus-water-pipe-milky-purple/
"13&#8243; Nice Glass Stonework Green Ceramic Beaker Bong",98.99,https://aussievapemart.com.au/product/13-nice-glass-stonework-green-ceramic-beaker-bong/
"8&#8243; Silicone Beaker w/ Glass Bowl",25.99,https://aussievapemart.com.au/product/8-silicone-beaker-w-glass-bowl/
"14mm 90 Degree Male Quartz Banger",9.99,https://aussievapemart.com.au/product/14mm-90-degree-male-quartz-banger-2/
"11&#8243; Honeycomb Silicone Bong with Shower Percolator",47.32,https://aussievapemart.com.au/product/11-honeycomb-silicone-bong-with-shower-percolator/
"4.5&#8243; Two Tone Hand Pipe &#8211; Assorted Design",10.62,https://aussievapemart.com.au/product/4-5-two-tone-hand-pipe-assorted-design/
"8&#8243; Glass Bong with Leaf",34.89,https://aussievapemart.com.au/product/8-glass-bong-with-leaf/
"3.5&#8243; Full Color Metal Pipe with Cover &#8211; Assorted Colors",3.99,https://aussievapemart.com.au/product/3-5-full-color-metal-pipe-with-cover-assorted-colors/
"6.5&#8243;Silicone Bong w/ Glass Bowl",19.99,https://aussievapemart.com.au/product/6-5silicone-bong-w-glass-bowl/
"3&#8243; Metal pipe with Diamond Cuts &#8211; Assorted Colour",3.99,https://aussievapemart.com.au/product/3-metal-pipe-with-diamond-cuts-assorted-colour/
"3.5&#8243; Silicone Pipe w/ Glass Bowl Rainbow",6.99,https://aussievapemart.com.au/product/3-5-silicone-pipe-w-glass-bowl-rainbow/
"14mm 45 Degree Male Quartz Banger",9.98,https://aussievapemart.com.au/product/14mm-45-degree-male-quartz-banger/
"14mm 90 Degree Male Quartz Banger",9.98,https://aussievapemart.com.au/product/14mm-90-degree-male-quartz-banger/
"14mm Male Glass Bowl w/ Handle",7.99,https://aussievapemart.com.au/product/14mm-male-glass-bowl-w-handle/
"2.5&#8243; Fritz Glass Spoon Pipe &#8211; Assorted Design",5.99,https://aussievapemart.com.au/product/2-5-fritz-glass-spoon-pipe-assorted-design/
"Zeus Purify Cleaning Kit",28.99,https://aussievapemart.com.au/product/zeus-purify-cleaning-kit/
